n_frames,ball_present_frac,top2_speed_cms,rest_speed_cms,speed_ratio,mean_spacing_cm,centroid_vel_cms,sync_score,mean_hull_area,reaction_lag_frames,file,label,tactical_deviation
29,0.27586206896551724,317.4,133.7,2.37,195.6,540.7,0.261,39480.0,-7.0,Coordinated_Attack__videoplayback (3)_clip_014.csv,Coordinated Attack,4.558282371201516
29,0.7931034482758621,216.2,125.5,1.72,185.0,232.9,0.122,47945.0,-1.0,Coordinated_Attack__videoplayback (3)_clip_017.csv,Coordinated Attack,1.8263760199101244
29,0.8275862068965517,157.3,88.9,1.77,161.9,234.6,0.059,48871.0,6.0,Coordinated_Attack__videoplayback (3)_clip_021.csv,Coordinated Attack,2.425234554253879
29,1.0,223.2,113.2,1.97,316.7,79.2,0.033,213628.0,8.0,Coordinated_Attack__videoplayback (3)_clip_025.csv,Coordinated Attack,2.2522756336938534
29,0.7241379310344828,167.4,107.4,1.56,219.7,114.1,0.09,60033.0,11.0,Coordinated_Attack__videoplayback (3)_clip_028.csv,Coordinated Attack,1.6198762203386934
29,0.7586206896551724,267.5,62.0,4.32,344.6,126.5,0.126,146857.0,3.0,Coordinated_Attack__videoplayback (3)_clip_032.csv,Coordinated Attack,4.375611854903239
29,1.0,231.6,81.7,2.84,311.4,92.1,0.046,146199.0,0.0,Coordinated_Attack__videoplayback (3)_clip_035.csv,Coordinated Attack,1.5287714910217407
29,0.9655172413793104,273.8,99.1,2.76,254.8,219.0,-0.016,62276.0,23.0,Coordinated_Attack__videoplayback (3)_clip_038.csv,Coordinated Attack,1.7277400284954203
29,1.0,351.9,221.0,1.59,243.5,229.9,0.087,51531.0,-1.0,Coordinated_Attack__videoplayback (3)_clip_042.csv,Coordinated Attack,2.0050581795724933
29,0.9655172413793104,385.2,163.2,2.36,240.2,229.5,0.058,59652.0,3.0,Coordinated_Attack__videoplayback (3)_clip_047.csv,Coordinated Attack,2.29021518579369
29,0.8275862068965517,472.8,167.9,2.82,299.1,238.3,0.012,83852.0,-14.0,Coordinated_Attack__videoplayback (3)_clip_050.csv,Coordinated Attack,3.294489734165988
29,0.8620689655172413,293.6,168.4,1.74,295.7,144.3,0.031,90753.0,22.0,Coordinated_Attack__videoplayback (3)_clip_053.csv,Coordinated Attack,1.2935481305097136
29,1.0,298.4,169.3,1.76,274.5,88.1,-0.039,184247.0,12.0,Coordinated_Attack__videoplayback (3)_clip_057.csv,Coordinated Attack,2.5323313042222524
29,0.9655172413793104,333.5,105.5,3.16,235.0,124.3,0.062,45952.0,6.0,Coordinated_Attack__videoplayback (3)_clip_061.csv,Coordinated Attack,2.7721084278612564
